response_id,class,response_text,text_token
response_1,0,try avoid sort conflict,"['try', 'avoid', 'sort', 'conflict']"
response_2,1,friend open mental addiction weed taking life making depressed,"['friend', 'open', 'mental', 'addiction', 'weed', 'taking', 'life', 'making', 'depressed']"
response_3,1,saved girl suicide going swallow bunch pills talked calm loving way,"['saved', 'girl', 'suicide', 'going', 'swallow', 'bunch', 'pills', 'talked', 'calm', 'loving', 'way']"
response_4,0,cant think one really think may indirectly,"['cant', 'think', 'one', 'really', 'think', 'may', 'indirectly']"
response_5,0,really one friend fit categories therapist calls spiraling anyway pretty much calls time frustrated something boyfriend ask logical would fight would call crazy asks say please said hand remote,"['really', 'one', 'friend', 'fit', 'categories', 'therapist', 'calls', 'spiraling', 'anyway', 'pretty', 'much', 'calls', 'time', 'frustrated', 'something', 'boyfriend', 'ask', 'logical', 'would', 'fight', 'would', 'call', 'crazy', 'asks', 'ok', 'say', 'please', 'said', 'hand', 'remote']"
response_6,0,couple years ago friends going switch school low self esteem helped overcome shit,"['couple', 'years', 'ago', 'friends', 'going', 'switch', 'school', 'low', 'self', 'esteem', 'helped', 'overcome', 'shit']"
response_7,1,roommate going death loss anything get bedroom,"['roommate', 'going', 'death', 'loss', 'gf', 'anything', 'get', 'bedroom']"
response_8,1,couple friends could say friends quite severe depression emotional problems helped eventually relationships started suffer result personal problems,"['couple', 'friends', 'could', 'say', 'friends', 'quite', 'severe', 'depression', 'emotional', 'problems', 'helped', 'eventually', 'relationships', 'started', 'suffer', 'result', 'personal', 'problems']"
response_9,0,listened someone talk relationship troubles offered advice personal experience,"['listened', 'someone', 'talk', 'relationship', 'troubles', 'offered', 'advice', 'personal', 'experience']"
response_10,1,always listen comforted sister lost virgity night walked boyfriend cutting parents found threw house part simply bring supportive focus,"['always', 'listen', 'comforted', 'sister', 'lost', 'virgity', 'night', 'walked', 'boyfriend', 'cutting', 'parents', 'found', 'threw', 'house', 'part', 'simply', 'bring', 'supportive', 'focus']"
response_11,0,took week work packed car picked friend verge losing went camping surfing week parents big part problem away others physical activity every day week around helped feel,"['took', 'week', 'work', 'packed', 'car', 'picked', 'friend', 'verge', 'losing', 'went', 'camping', 'surfing', 'week', 'parents', 'big', 'part', 'problem', 'away', 'others', 'physical', 'activity', 'every', 'day', 'week', 'around', 'helped', 'feel']"
response_12,1,memorial anniversary friends father give support remind alone,"['memorial', 'anniversary', 'friends', 'father', 'give', 'support', 'remind', 'alone']"
response_13,0,anxious girlfriend always needs help,"['anxious', 'girlfriend', 'always', 'needs', 'help']"
response_14,0,never,['never']
response_15,0,mom,['mom']
response_16,1,cutter suicidal got issues slowly dying inside,"['ex', 'gf', 'cutter', 'suicidal', 'got', 'issues', 'slowly', 'dying', 'inside']"
response_17,0,helped advise friends faced circumstances similar mine,"['helped', 'advise', 'friends', 'faced', 'circumstances', 'similar', 'mine']"
response_18,0,helped friends,"['helped', 'friends']"
response_19,0,friend girl talk tryin make feel better,"['friend', 'girl', 'talk', 'tryin', 'make', 'feel', 'better']"
response_20,0,expressing concern openness friends dealing troubles letting know fell open dialog,"['expressing', 'concern', 'openness', 'friends', 'dealing', 'troubles', 'letting', 'know', 'fell', 'open', 'dialog']"
response_21,0,listening girlfriend problems,"['listening', 'girlfriend', 'problems']"
response_22,1,friend thinking suicide days managed talk,"['friend', 'thinking', 'suicide', 'days', 'managed', 'talk']"
